time,x,y,z
(3.0262162000000004+0j),(108.84015894341721+0j),(-89.15881206679705+0j),(77.87125400925841+0j)
(3.03073+0j),(109.42030955488892+0j),(-89.46002849015507+0j),(78.10331601919233+0j)
(3.0347778000000005+0j),(109.9892753215795+0j),(-89.74707286509417+0j),(78.33375812164596+0j)
(3.0387564000000005+0j),(110.57005903716686+0j),(-90.0286289375949+0j),(78.56543104987182+0j)
(3.043472600000001+0j),(111.12238912497503+0j),(-90.32993504590682+0j),(78.78231620342105+0j)
(3.0476524000000005+0j),(111.64803914417486+0j),(-90.6151729397627+0j),(79.02627789825642+0j)
(3.0522162+0j),(112.20704723434238+0j),(-90.91282500508704+0j),(79.27436885717496+0j)
(3.056197600000001+0j),(112.7742475250561+0j),(-91.19753637443235+0j),(79.49924905759963+0j)
(3.0617096999999998+0j),(113.35581608230724+0j),(-91.45639992229744+0j),(79.69604223112928+0j)
(3.0666972999999995+0j),(113.9222563322715+0j),(-91.73964877988455+0j),(79.88382981309528+0j)
(3.071737500000001+0j),(115.02927540228137+0j),(-92.27778283839652+0j),(80.39708636084805+0j)
(3.077197100000001+0j),(115.60567645124219+0j),(-92.56288891550153+0j),(80.56181126011886+0j)
(3.0812498999999995+0j),(116.18803526499798+0j),(-92.82060551954191+0j),(80.75524457355876+0j)
(3.0862388000000003+0j),(116.7805813253134+0j),(-93.08596953277602+0j),(80.9229338151078+0j)
(3.090724+0j),(117.36319838948677+0j),(-93.35236967353673+0j),(81.10719745466051+0j)
(3.095705200000001+0j),(117.95525477522428+0j),(-93.65429272107616+0j),(81.27538719919237+0j)
(3.1007327+0j),(119.02599524586145+0j),(-94.15617320403986+0j),(81.70700099864672+0j)
(3.105348300000001+0j),(119.61445260483039+0j),(-94.44394151824035+0j),(81.8792056644925+0j)
(3.1098484000000006+0j),(120.2005395735338+0j),(-94.71899259202252+0j),(82.03978251523945+0j)
(3.1153036000000007+0j),(120.8352475364668+0j),(-94.9749518098089+0j),(82.17740489668311+0j)
(3.1193277000000013+0j),(121.40819777350838+0j),(-95.21868319831418+0j),(82.35701799793307+0j)
(3.1238121999999997+0j),(121.97961447968952+0j),(-95.50657254780761+0j),(82.52788569987409+0j)
(3.128797800000001+0j),(122.57432883697479+0j),(-95.78329862224815+0j),(82.6778924931945+0j)
(3.1332403000000006+0j),(123.17030331387758+0j),(-96.03148889808678+0j),(82.83824886928198+0j)
(3.1379003+0j),(124.2246223294276+0j),(-96.51565274262806+0j),(83.24998575036815+0j)
(3.1419908000000003+0j),(124.80688429449889+0j),(-96.80275492501936+0j),(83.41536526174215+0j)
(3.1467698000000013+0j),(125.40769130108443+0j),(-97.0869509274697+0j),(83.55157421208258+0j)
(3.1507861000000013+0j),(125.98837282522103+0j),(-97.36270292972611+0j),(83.69662104868699+0j)
(3.1561111000000004+0j),(126.60616204641154+0j),(-97.63058091767364+0j),(83.80656937352082+0j)
(3.1600868999999996+0j),(127.20718887123974+0j),(-97.90355572605118+0j),(83.9519252149112+0j)
(3.1644512000000002+0j),(127.78518676373297+0j),(-98.17143858106587+0j),(84.09678405797838+0j)
(3.168508600000001+0j),(128.359856521586+0j),(-98.43018230529572+0j),(84.2594748827703+0j)
(3.1735261999999995+0j),(128.9874654613236+0j),(-98.68644606355556+0j),(84.38549618600753+0j)
(3.1777037999999997+0j),(129.58035391510697+0j),(-98.93367697891864+0j),(84.53288578194422+0j)
(3.1822028000000007+0j),(130.18068592770442+0j),(-99.18538997179519+0j),(84.67374832830548+0j)
(3.186728800000001+0j),(130.77620160586707+0j),(-99.44356492662638+0j),(84.81778610339754+0j)
(3.1912114000000003+0j),(131.40370044233595+0j),(-99.69519884553674+0j),(84.94843334011156+0j)
(3.1963337000000003+0j),(132.5039910489614+0j),(-100.09962077707812+0j),(85.33278614077702+0j)
(3.200872800000001+0j),(133.1395459097387+0j),(-100.35275912675299+0j),(85.4886052328856+0j)
(3.2048889999999997+0j),(133.75758128408927+0j),(-100.61285006544253+0j),(85.64045604011275+0j)
(3.2093755999999996+0j),(134.39617468410296+0j),(-100.86564388128437+0j),(85.77027339333395+0j)
(3.214553800000001+0j),(135.08636614388936+0j),(-101.11184530139178+0j),(85.87174828892466+0j)
(3.2190526000000013+0j),(135.74130005279565+0j),(-101.36003409459681+0j),(86.01653245477232+0j)
(3.2230591000000004+0j),(136.36534848080322+0j),(-101.61775019839794+0j),(86.17791062755782+0j)
(3.2280493000000003+0j),(137.02504899308462+0j),(-101.89635154180255+0j),(86.31134673807222+0j)
(3.232678400000001+0j),(137.6928191842732+0j),(-102.17461136197933+0j),(86.4565377463219+0j)
(3.2366764000000003+0j),(138.3436819761182+0j),(-102.4375076440203+0j),(86.60816735843056+0j)
(3.2412056000000007+0j),(138.99003911230085+0j),(-102.69845198539277+0j),(86.7407415915986+0j)
(3.2456733+0j),(139.65228177661348+0j),(-102.97008757697878+0j),(86.9063369838849+0j)
(3.250679+0j),(140.82131035694613+0j),(-103.42248552350382+0j),(87.28619659685982+0j)
(3.255090600000001+0j),(141.45666725047835+0j),(-103.68399598807683+0j),(87.43879839627235+0j)
(3.2590912000000003+0j),(142.10197657709085+0j),(-103.95892976094177+0j),(87.60875741651813+0j)
(3.2640723000000005+0j),(142.79434120705676+0j),(-104.26951128553749+0j),(87.73175602080198+0j)
(3.268585400000001+0j),(143.4654156210822+0j),(-104.53261844012644+0j),(87.87571929728075+0j)
(3.2740644000000003+0j),(144.2003753799603+0j),(-104.79995293066078+0j),(87.98503648722615+0j)
(3.2783420999999997+0j),(144.89036746473073+0j),(-105.07643874635482+0j),(88.10670735984877+0j)
(3.2830608000000012+0j),(145.59359473558402+0j),(-105.33831759144573+0j),(88.2288479745718+0j)
(3.2878454+0j),(146.76922574063894+0j),(-105.79547633471574+0j),(88.61625301626658+0j)
(3.2921818+0j),(147.45735704502496+0j),(-106.06631065746048+0j),(88.73957044214617+0j)
(3.296392000000001+0j),(148.1261296475032+0j),(-106.31531143458086+0j),(88.87694388743665+0j)
(3.3008638999999995+0j),(148.83668662831172+0j),(-106.58577281890008+0j),(89.0044626602595+0j)
(3.305844200000001+0j),(149.5861031165328+0j),(-106.89743534467402+0j),(89.11724856933608+0j)
(3.309857600000001+0j),(150.26331896691494+0j),(-107.16690500785343+0j),(89.25356639882044+0j)
(3.3143127999999997+0j),(150.9678342223134+0j),(-107.42977226834223+0j),(89.383995006689+0j)
(3.3187800000000003+0j),(151.68400023823563+0j),(-107.72061130015837+0j),(89.52764901141258+0j)
(3.3227805000000004+0j),(152.37357077249976+0j),(-108.00191512162944+0j),(89.67298107903552+0j)
(3.3277689000000006+0j),(153.1201324155093+0j),(-108.27776922033185+0j),(89.78741662978838+0j)
(3.3328018000000004+0j),(153.85075466810292+0j),(-108.57228549193809+0j),(89.89779732601112+0j)
(3.3376693+0j),(155.0471514495561+0j),(-109.0259075163539+0j),(90.30681750309458+0j)
(3.3435307000000005+0j),(155.83671513910093+0j),(-109.35600026172617+0j),(90.39887672508767+0j)
(3.3476040000000005+0j),(156.53444298209797+0j),(-109.66692829616557+0j),(90.5373487551128+0j)
(3.352028800000001+0j),(157.27563208596808+0j),(-109.94246062150782+0j),(90.67309637871904+0j)
(3.3570469000000003+0j),(158.0385464606227+0j),(-110.2371201183708+0j),(90.7922739216168+0j)
(3.3615338999999995+0j),(158.7659315388902+0j),(-110.52187956926214+0j),(90.92200456480883+0j)
(3.3665356000000006+0j),(159.52534141786228+0j),(-110.83499248766265+0j),(91.02849394180045+0j)
(3.371198400000001+0j),(160.71733760118664+0j),(-111.26353356585864+0j),(91.38558199586984+0j)
(3.3765277000000005+0j),(161.49058381724802+0j),(-111.57786439118621+0j),(91.48572518459724+0j)
(3.3805674999999997+0j),(162.20443615287007+0j),(-111.8811616930153+0j),(91.60512712553825+0j)
(3.3850697000000007+0j),(162.94210216935642+0j),(-112.19046314466138+0j),(91.70685690132528+0j)
(3.389383800000001+0j),(163.65399832450436+0j),(-112.48287049445659+0j),(91.79858666419074+0j)
(3.3943908+0j),(164.418284723817+0j),(-112.80888791888628+0j),(91.88228260198723+0j)
(3.3993684999999996+0j),(165.19502463380215+0j),(-113.1425428039236+0j),(91.9699743129218+0j)
(3.4044749999999997+0j),(166.36230158139995+0j),(-113.63121902888076+0j),(92.27256889859031+0j)
(3.4098304000000006+0j),(167.1534584591071+0j),(-114.00322192114328+0j),(92.33942071082127+0j)
(3.4146237+0j),(167.88383255404264+0j),(-114.34436422140861+0j),(92.43422909326074+0j)
(3.419616900000001+0j),(168.63645463560627+0j),(-114.67866478079324+0j),(92.4962127646511+0j)
(3.4241121000000003+0j),(169.37857692196383+0j),(-114.99708362503165+0j),(92.58694972031945+0j)
(3.428496600000001+0j),(170.10460387801552+0j),(-115.31070615438122+0j),(92.66154020190504+0j)
(3.433534700000001+0j),(170.87036965418935+0j),(-115.648071668504+0j),(92.7302135212529+0j)
(3.438376700000001+0j),(172.00877318750096+0j),(-116.1429247203443+0j),(93.02570623302054+0j)
(3.443866100000001+0j),(172.78419588304507+0j),(-116.48607528572524+0j),(93.07600996853647+0j)
(3.4488578000000008+0j),(173.53890732003015+0j),(-116.79231943512973+0j),(93.15394526667984+0j)
(3.4538510000000002+0j),(174.29258133524905+0j),(-117.09648161577798+0j),(93.21770041282329+0j)
(3.4587143000000005+0j),(175.41359861159214+0j),(-117.50496215656644+0j),(93.50868395950425+0j)
(3.463211000000001+0j),(176.12010660659985+0j),(-117.78310066748371+0j),(93.60985360822396+0j)
(3.4682163+0j),(176.86284341526795+0j),(-118.0719286014795+0j),(93.68614199437633+0j)
(3.4727164000000013+0j),(177.57987690879784+0j),(-118.336911008616+0j),(93.76970964867536+0j)
(3.477907+0j),(178.36250086320246+0j),(-118.66508414998736+0j),(93.82409313557886+0j)
(3.482391700000001+0j),(179.07792578379966+0j),(-118.9209059153001+0j),(93.90322998357327+0j)
(3.4879219+0j),(180.2675002145168+0j),(-119.31436635435335+0j),(94.14150739569206+0j)
(3.4929699999999997+0j),(181.0451655335424+0j),(-119.62564251451408+0j),(94.18565428201124+0j)
