time,velocity
23.6227544,21.645568308833216
23.627213900000005,22.313879695074686
23.6316838,22.810968135388745
23.6371316,23.233531640380615
23.641606300000003,23.48282036601709
23.6460659,23.57277203303445
23.651045800000002,23.622534124212997
23.656486000000005,23.533558457001607
23.661449900000004,23.299373470284902
23.666402800000004,23.01584128225998
23.670869200000002,22.620815463669253
23.676322700000004,22.15698920585185
23.680784499999998,21.646944933794583
23.6852493,21.118137408083236
23.689714400000003,20.607622726502132
23.694177,20.235907219141808
23.699563200000004,20.0265085153532
23.705130900000004,19.90067925145472
23.7105518,19.937465385904957
23.7150098,20.0586383643401
23.720460499999998,20.572370564624663
23.7259251,21.218215174983175
23.730909800000003,22.320899917281988
23.736340200000004,23.61898692076393
23.7412983,25.574174838320356
23.7467535,27.669917579301373
23.7512183,29.882627101244086
23.756180600000004,32.276165808369306
23.760641500000002,34.71224327931045
23.765105600000002,37.276241192012165
23.7702421,40.235569517550026
23.775522300000002,43.41677892296413
23.780480999999998,46.29037879971183
23.785444299999998,49.15986342907205
23.789910000000003,51.39957948632353
23.795409000000003,54.18107861285583
23.7998268,56.7360388434156
23.8043344,59.07497947887626
23.8097928,61.199888469293164
23.814204800000002,63.04802859326
23.818675199999998,64.47840204969273
23.823138600000004,65.88109897492774
23.828639900000002,67.55995492895711
23.8330583,68.9168693979799
23.838520499999998,69.97257683868646
23.8429788,70.6417167477987
23.8479427,71.32548902587926
23.8524601,71.62586644360266
23.8573658,71.6703903350321
23.8623235,72.24632135153782
23.867809500000003,73.14496084837566
23.8727377,73.87144953422434
23.8787839,75.34683416269084
23.883156600000003,76.59521691025007
23.888613000000003,77.84807493338486
23.893604900000003,79.23353100233955
23.898035600000004,80.96335683399144
23.902498400000002,82.96715015221179
23.907942200000004,85.32829606741159
23.9134421,87.74592702464221
23.918865900000004,89.97573570463818
23.9233308,92.94614468418283
23.928831500000005,96.97490862556315
23.934241099999998,100.93849658981897
23.9387096,104.95530745801257
23.9436956,108.8463717463545
23.948128999999998,112.42085358080708
23.9535971,117.11710158156816
23.9580492,121.94260819679852
23.963505800000004,126.30200511171655
23.968963,130.27988174446594
23.9739204,133.88415478222194
23.978881400000002,138.2951693950768
23.984336600000002,142.15610184206994
23.989299300000003,145.4488071297204
23.993796200000002,149.1201575813187
23.9996106,153.76197797184844
24.004679400000004,157.7813690224764
24.009136,162.22384052605327
24.013602200000005,165.92460106034622
24.019065200000004,169.2146298954297
24.024019400000004,172.19112707552807
24.0289762,176.03258872593537
24.0344929,179.39307826189543
24.039393399999998,182.77597217902357
24.0452489,187.1006855391457
24.0498109,190.78972324877626
24.054270900000002,194.240928391533
24.0597302,198.09868717236785
24.064194699999998,201.40604525481947
24.068655100000004,204.09688329253817
24.0746565,207.95869773980885
24.0801082,211.15201556980048
24.085024999999998,214.8665022307167
24.089489500000003,217.98117476921124
24.095499399999998,221.95777531902726
24.099906900000004,225.05581938627637
24.1053642,227.34998762862278
24.110353800000002,230.08784618781195
24.114816700000002,232.1087783600846
24.1203982,235.35472837367863
24.1247102,237.8516567045523
24.129219000000003,240.91579597673575
24.134673600000003,243.16572967558693
24.139093,244.7579834423925
24.143582900000002,245.5501493434248
24.148027799999998,245.56623296254602
24.1525163,244.7353834220741
24.158101300000002,246.45326564220417
24.1629014,247.5348017388275
24.1673613,247.83533372995416
24.171829400000004,248.9001552225755
24.1768179,248.91032959322246
24.1812797,248.51498896736004
24.1857157,247.4994983192141
24.1912074,247.81924566477943
24.196626,247.1085775351149
24.202092699999998,247.52185964703435
24.2065502,247.28697697445676
24.2122379,248.51376641229717
24.2169626,249.00962431725262
24.222443100000003,250.51787046036438
24.2268796,251.41665403652897
24.231347600000003,251.73063307323966
24.236311000000004,251.488934676625
24.2417615,252.57083870266942
24.246226000000004,255.03002437631545
24.251189200000002,256.91326859627907
24.2561445,258.1672795182163
24.260610100000005,258.85303683692797
24.265076099999998,259.13804118473485
24.2705307,260.9430296433076
24.276022200000003,262.0651653960416
24.280451600000003,262.47568450853794
24.2854044,264.1989770456448
24.289872499999998,265.29350959070615
24.294844700000002,265.76101162592613
24.3002893,267.27412936857587
24.305747900000004,267.9059430238555
24.3102056,267.68533081269965
24.314671399999998,266.7320929546331
24.319134100000003,267.125743550713
24.3245733,268.8115444017294
24.3300832,269.7560513894392
24.335053400000003,269.87140776898843
24.339475600000004,271.22710423858587
24.345430699999998,273.99255134572905
24.349888500000002,275.985482177777
24.3543578,277.20967015002316
24.358814900000002,277.66970700912253
24.363281699999998,277.38177641023407
24.368736800000004,278.4574750835115
24.373699300000002,278.9192991607081
24.379150900000003,280.9976144743722
24.3846126,282.2548840169715
24.389572500000003,282.7486243035649
24.3945305,282.60023104544024
24.3996132,286.1216312351656
24.404948200000003,288.9497448329221
24.410398500000003,291.0336034958283
24.4149146,292.29838029889373
24.419828499999998,292.6901282120097
24.424785600000003,294.46094795761366
24.4302435,297.0297940434751
24.4347083,298.7193297455598
24.4396765,299.47988376036034
24.4441404,299.33910666807105
24.449545500000003,300.4473625512119
24.4550436,302.57123640177707
24.4604946,303.77959943545284
24.464961500000005,304.0143547544273
24.4704668,305.564104992376
24.4758722,308.22585837238546
24.4803368,309.90453804982167
24.4852976,310.7126796862889
24.4898197,310.5335769810557
24.494729100000004,309.4276195291818
24.499681900000002,309.61143405916647
24.5041457,308.76950369922
24.509603000000002,309.2961182939912
24.5145614,308.83454632072716
24.519028700000003,307.49217999865584
24.5244289,307.42326142270093
24.528946200000004,308.6259528705366
24.534414299999998,308.8181699019298
24.5398588,308.3510768844182
