x,y,z,w,time
-0.07274600118398666,-0.12964004278182983,0.04291890189051628,0.9879572987556458,3.8594403
-0.07274600118398666,-0.12964004278182983,0.04291890189051628,0.9879572987556458,3.8596492
-0.07270996272563934,-0.12970536947250366,0.042871154844760895,0.9879534244537354,3.8647874
-0.07281693071126938,-0.12935315072536469,0.042354755103588104,0.9880139827728271,3.8801216
-0.07287830859422684,-0.12950576841831207,0.042397789657115936,0.9879876375198364,3.8955189
-0.07298143208026886,-0.12949486076831818,0.0416034460067749,0.9880152344703674,3.9108755000000004
-0.07340475916862488,-0.12966883182525635,0.04097387567162514,0.9879872798919678,3.9262385
-0.07359638810157776,-0.12989164888858795,0.040469445288181305,0.9879646301269531,3.9416585
-0.07365129888057709,-0.1301831156015396,0.03997888043522835,0.9879421591758728,3.9570827
-0.0739879310131073,-0.13027416169643402,0.039231330156326294,0.987934947013855,3.9723539
-0.07409682124853134,-0.13029681146144867,0.03901902958750725,0.9879321455955505,3.9877770999999997
-0.07411743700504303,-0.1305929571390152,0.039207447320222855,0.9878841042518616,4.0031377
-0.07437711209058762,-0.1306852102279663,0.03928932175040245,0.9878491163253784,4.0185242
-0.07419291138648987,-0.13100886344909668,0.03946061432361603,0.9878132343292236,4.0343861
-0.07399404048919678,-0.13105115294456482,0.03981336951255798,0.987808346748352,4.0493081
-0.07393340021371841,-0.13105222582817078,0.040070824325084686,0.9878024458885193,4.0646275
-0.07282564789056778,-0.13190729916095734,0.04055102914571762,0.9877512454986572,4.0800599
-0.07302941381931305,-0.1316700130701065,0.040110912173986435,0.987785816192627,4.0954123
-0.0732123926281929,-0.13087213039398193,0.038709018379449844,0.9879342317581177,4.1108181
-0.07263795286417007,-0.13007724285125732,0.03839452564716339,0.988093912601471,4.126142
-0.07251132279634476,-0.12907016277313232,0.03836757317185402,0.9882362484931946,4.141553
-0.07205043733119965,-0.12816669046878815,0.03793952614068985,0.9884041547775269,4.1569321
-0.07280556112527847,-0.12725986540317535,0.037512559443712234,0.9884822368621826,4.1722561
-0.07317929714918137,-0.12733471393585205,0.036665987223386765,0.9884767532348633,4.1876606
-0.07451614737510681,-0.1256469041109085,0.03299408778548241,0.9887222647666931,4.2031605
-0.07519938796758652,-0.12517981231212616,0.03203372284770012,0.9887613654136658,4.2184232
-0.07562384754419327,-0.12483064830303192,0.03139718994498253,0.9887935519218445,4.2343048
-0.07603085786104202,-0.12471821904182434,0.030679160729050636,0.9887990355491638,4.249195
-0.0763997882604599,-0.12420909851789474,0.028784658759832382,0.9888916015625,4.2645724
-0.07584889978170395,-0.12397231161594391,0.027302388101816177,0.9890058040618896,4.2801271
-0.07534582912921906,-0.12388256192207336,0.027212264016270638,0.9890579581260681,4.2952938
-0.0752694383263588,-0.12415151298046112,0.02688298560678959,0.9890390634536743,4.3107026
-0.07580552995204926,-0.12407179176807404,0.025150887668132782,0.9890536665916443,4.3260219
-0.07596851140260696,-0.12418003380298615,0.024184802547097206,0.9890516400337219,4.3414451
-0.07775097340345383,-0.1215737909078598,0.010018686763942242,0.9894818663597107,4.356648
-0.07794015854597092,-0.12097391486167908,0.008486692793667316,0.989554762840271,4.371964
-0.07784852385520935,-0.12069279700517654,0.006904349662363529,0.9896085858345032,4.3873536
-0.0777881070971489,-0.12046791613101959,0.005750130396336317,0.989648163318634,4.4027439
-0.07819118350744247,-0.12067063897848129,0.003428751602768898,0.9896025061607361,4.4181485
-0.0784444808959961,-0.12143796682357788,0.0019647309090942144,0.9894925355911255,4.4335138
-0.07914375513792038,-0.1217750683426857,-0.00046966742957010865,0.9893972873687744,4.4488738
-0.07943809032440186,-0.12404539436101913,0.005834595300257206,0.9890745282173157,4.464268
-0.08087074011564255,-0.12308263033628464,-0.007549899630248547,0.9890670776367188,4.4801052
-0.08084004372358322,-0.12467794120311737,-0.008321430534124374,0.9888635873794556,4.4952456
-0.08168845623731613,-0.12668664753437042,-0.009789063595235348,0.9885249733924866,4.5105465
-0.0818963274359703,-0.12827180325984955,-0.011542943306267262,0.9882844686508179,4.5259504
-0.08222151547670364,-0.12871551513671875,-0.011990382336080074,0.988194465637207,4.54134
-0.08200918138027191,-0.13044515252113342,-0.013316148892045021,0.9879682064056396,4.556666
-0.081510990858078,-0.1313370317220688,-0.01493619754910469,0.9878681898117065,4.5720534
-0.08117885887622833,-0.13213904201984406,-0.01582157611846924,0.9877747297286987,4.5874344
-0.08061935007572174,-0.13346640765666962,-0.017365414649248123,0.987616240978241,4.6028188
-0.08039888739585876,-0.13478772342205048,-0.01838824711740017,0.9874361753463745,4.6181639
-0.08055368810892105,-0.13550181686878204,-0.019548123702406883,0.9873035550117493,4.6335761
