grip,time
850.0,3.8596589999999997
850.0,3.8648002999999997
850.0,3.8801316999999997
850.0,3.8955351999999994
850.0,3.9108824
850.0,3.9262473
850.0,3.941674
850.0,3.9571012999999997
850.0,3.972373
850.0,3.9877879
850.0,4.0031466
850.0,4.0185365
850.0,4.0343946
850.0,4.0493178
850.0,4.0646379999999995
850.0,4.0800781
850.0,4.095419199999999
850.0,4.1108312
850.0,4.1261502
850.0,4.1415706
850.0,4.1569497
850.0,4.1722632
850.0,4.1876831
850.0,4.2031787
850.0,4.2184307
850.0,4.2343186
850.0,4.2492088
850.0,4.264584999999999
850.0,4.2801358
850.0,4.2953025
850.0,4.3107162
850.0,4.326034
850.0,4.3414594
850.0,4.3566611
850.0,4.3719838
850.0,4.3873676
850.0,4.4027677
850.0,4.4181555
850.0,4.4335423
850.0,4.4488841
850.0,4.4642839
850.0,4.4801135
850.0,4.49527
850.0,4.5105575
850.0,4.52597
850.0,4.5413593
850.0,4.5566743999999995
850.0,4.572062
850.0,4.5874467
850.0,4.6028275
850.0,4.6181732
850.0,4.6335926999999995
850.0,4.6489788
850.0,4.6643273
850.0,4.6802578
850.0,4.6950617
850.0,4.710445
850.0,4.7260078
850.0,4.741196899999999
850.0,4.7565982
850.0,4.771960099999999
850.0,4.7873513999999995
850.0,4.802694799999999
850.0,4.8180923
850.0,4.833501
850.0,4.8488530999999995
850.0,4.8642205999999995
850.0,4.8796006
850.0,4.8949549
850.0,4.9103135
850.0,4.925950299999999
850.0,4.9411051
850.0,4.9565155
850.0,4.971824499999999
850.0,4.9872577
850.0,5.0025433
850.0,5.0178516
850.0,5.0332877
850.0,5.0486241
850.0,5.0639835
850.0,5.0794217999999995
850.0,5.0947366999999995
850.0,5.1101148
850.0,5.1260033
850.0,5.140885
850.0,5.156059
850.0,5.1719332
850.0,5.1868224
850.0,5.202143599999999
850.0,5.2176184999999995
850.0,5.233005599999999
850.0,5.248283499999999
850.0,5.2636688
850.0,5.279080899999999
850.0,5.2944195999999994
850.0,5.3097866
850.0,5.3251878999999995
850.0,5.3405528
850.0,5.3558994
850.0,5.3719057
850.0,5.386726599999999
850.0,5.4021137
850.0,5.417811599999999
850.0,5.432847
850.0,5.4482145
850.0,5.4635448
850.0,5.4792944
850.0,5.4943183
850.0,5.5096827
850.0,5.5250734999999995
850.0,5.5404576
850.0,5.5558077
850.0,5.5716415
850.0,5.5865233
850.0,5.6019086
850.0,5.6176733
850.0,5.6326677
850.0,5.6480941
850.0,5.6634123999999995
850.0,5.678956599999999
850.0,5.6943855999999995
850.0,5.709706499999999
850.0,5.7251123
850.0,5.7405139
850.0,5.7558862
850.0,5.7717472
850.0,5.7866178999999995
850.0,5.8020194
850.0,5.8176106999999995
850.0,5.8327529
850.0,5.8481387
850.0,5.8634816
850.0,5.8788938
850.0,5.8942397
850.0,5.9096021
850.0,5.9250298
850.0,5.9404068
850.0,5.955735499999999
850.0,5.9711242
850.0,5.9865077
850.0,6.0018994999999995
850.0,6.017674899999999
850.0,6.032824
850.0,6.048219899999999
850.0,6.0635505
850.0,6.0789814
850.0,6.0941674
850.0,6.1095058
850.0,6.1248926
850.0,6.140274499999999
850.0,6.1556356
850.0,6.1710278999999995
850.0,6.1863912999999995
850.0,6.2017904
850.0,6.2176322
850.0,6.2325311999999995
850.0,6.247878699999999
850.0,6.2634235
850.0,6.2786903999999994
850.0,6.2940562
850.0,6.3093713
850.0,6.3247988
850.0,6.3401926
850.0,6.3555167
850.0,6.3709175
850.0,6.3863023
850.0,6.4016699
850.0,6.4175752
850.0,6.432448099999999
850.0,6.4478254
850.0,6.4636011
850.0,6.4785537
850.0,6.4939233
850.0,6.5092688999999995
850.0,6.5246946
850.0,6.540055
850.0,6.5553843
850.0,6.570835499999999
850.0,6.5861835
850.0,6.6015153
850.0,6.6169851
850.0,6.6323219
850.0,6.6476751
850.0,6.6633781999999995
850.0,6.678399
850.0,6.6937942999999995
850.0,6.7092241999999995
850.0,6.724546699999999
850.0,6.739947
850.0,6.755281
850.0,6.7706672
850.0,6.7860732
850.0,6.8014193999999994
850.0,6.8168758
850.0,6.8321942
850.0,6.8475642
850.0,6.8629589
850.0,6.878321199999999
850.0,6.8937269
850.0,6.909224
850.0,6.924453199999999
850.0,6.939801
850.0,6.9552154999999996
850.0,6.9706131
850.0,6.9859336
850.0,7.0013078
850.0,7.016748
850.0,7.032067
850.0,7.0474619
850.0,7.0628415
850.0,7.0781807
850.0,7.0935355
850.0,7.1091747
850.0,7.12428
850.0,7.139651499999999
850.0,7.1550024
850.0,7.170389699999999
850.0,7.1857662
850.0,7.2011462
850.0,7.2165022
850.0,7.2318923
850.0,7.2472667
850.0,7.2626507
850.0,7.2779894
850.0,7.293366399999999
850.0,7.3094148
850.0,7.3241705999999995
850.0,7.3395088
850.0,7.3550525
850.0,7.3703055
850.0,7.385640700000001
850.0,7.401013
850.0,7.4164330000000005
850.0,7.431822299999999
850.0,7.447163000000001
850.0,7.462554
850.0,7.477912599999999
850.0,7.4932747
850.0,7.508661599999999
850.0,7.524026199999999
850.0,7.539461
850.0,7.5550880000000005
850.0,7.570193300000001
850.0,7.585565399999999
850.0,7.6008834
850.0,7.616376699999999
850.0,7.6316672
850.0,7.6470306
850.0,7.6624376
850.0,7.677784099999999
850.0,7.6931331
850.0,7.7085696
850.0,7.723956799999999
850.0,7.739300599999999
850.0,7.7550657
850.0,7.770033300000001
850.0,7.7854041
850.0,7.8009113999999995
850.0,7.8161604
850.0,7.831559099999999
850.0,7.8469261
