"x, y, z"
-1.0483533143997192,0.19246503710746765,-0.17843984067440033
-1.0483533143997192,0.19246503710746765,-0.17843984067440033
-1.0483320951461792,0.19245265424251556,-0.1784238964319229
-1.0482546091079712,0.19237808883190155,-0.1783774346113205
-1.0482014417648315,0.19228550791740417,-0.1783207356929779
-1.0481688976287842,0.1921440064907074,-0.17824938893318176
-1.0481669902801514,0.19200964272022247,-0.17814822494983673
-1.0481951236724854,0.1918814778327942,-0.1780572235584259
-1.048257827758789,0.19170676171779633,-0.1779041886329651
-1.0483342409133911,0.19150185585021973,-0.17774958908557892
-1.0484293699264526,0.19133245944976807,-0.1776411086320877
-1.0485658645629883,0.19110020995140076,-0.17750486731529236
-1.0487240552902222,0.19080497324466705,-0.17734463512897491
-1.0488492250442505,0.19048906862735748,-0.17711591720581055
-1.0488934516906738,0.19021162390708923,-0.176887646317482
-1.048856496810913,0.1898198276758194,-0.17650023102760315
-1.048810601234436,0.1893475353717804,-0.17593501508235931
-1.048701524734497,0.18907034397125244,-0.1756407767534256
-1.0484812259674072,0.18866802752017975,-0.17526884377002716
-1.0482286214828491,0.18824197351932526,-0.17486056685447693
-1.0480930805206299,0.1879357546567917,-0.1745797097682953
-1.047890305519104,0.1875457763671875,-0.17418505251407623
-1.0476363897323608,0.18720802664756775,-0.1738680899143219
-1.047489047050476,0.18695850670337677,-0.17356589436531067
-1.0472443103790283,0.1866420954465866,-0.17335599660873413
-1.0470266342163086,0.18630914390087128,-0.17309701442718506
-1.04683256149292,0.18594230711460114,-0.17286784946918488
-1.0466997623443604,0.1856313794851303,-0.17265601456165314
-1.0466060638427734,0.18514281511306763,-0.17235146462917328
-1.0465335845947266,0.1846156269311905,-0.1719864457845688
-1.0464751720428467,0.1842012256383896,-0.17171841859817505
-1.0464345216751099,0.18370887637138367,-0.17138369381427765
-1.0464417934417725,0.18323490023612976,-0.17104332149028778
-1.0464285612106323,0.1828708052635193,-0.17081116139888763
-1.0468947887420654,0.1825215369462967,-0.17043961584568024
-1.0469999313354492,0.18205782771110535,-0.17010189592838287
-1.0471456050872803,0.18168918788433075,-0.16986584663391113
-1.0473952293395996,0.18122607469558716,-0.16957248747348785
-1.0477595329284668,0.18080034852027893,-0.16930750012397766
-1.0481401681900024,0.18047519028186798,-0.1690247505903244
-1.0486019849777222,0.18011310696601868,-0.16876131296157837
-1.0488953590393066,0.17947497963905334,-0.16820485889911652
-1.049993634223938,0.1791703850030899,-0.1680680513381958
-1.0505167245864868,0.17872624099254608,-0.1678093671798706
