time,x,y,z
(2.7566770000000016+0j),(139.13690597279248+0j),(-95.03329844695628+0j),(75.1757533543831+0j)
(2.7608836000000014+0j),(139.56394285148377+0j),(-95.19820550957215+0j),(75.35593247561265+0j)
(2.7651628000000006+0j),(139.99517567057106+0j),(-95.38570612518515+0j),(75.53022008965644+0j)
(2.769135199999999+0j),(140.4197545936231+0j),(-95.56079901277437+0j),(75.70909653903315+0j)
(2.7731449+0j),(140.84786710098197+0j),(-95.70717627695684+0j),(75.88972956389541+0j)
(2.7776742000000016+0j),(141.28908318337903+0j),(-95.8567637348497+0j),(76.05193620814026+0j)
(2.7826179+0j),(141.7238954716957+0j),(-96.01319608695349+0j),(76.21221221791465+0j)
(2.7871146000000007+0j),(142.1425357724345+0j),(-96.20493207470649+0j),(76.39012044507817+0j)
(2.7926208+0j),(142.9338467002284+0j),(-96.51703141998755+0j),(76.79019592159048+0j)
(2.7971158999999997+0j),(143.34894220092428+0j),(-96.68249108887419+0j),(76.96414916749113+0j)
(2.801616600000001+0j),(143.77931024533856+0j),(-96.84856027983446+0j),(77.12661187545602+0j)
(2.8066212000000004+0j),(144.22886734143233+0j),(-97.04120973727055+0j),(77.29242782248328+0j)
(2.8111228000000015+0j),(144.66160565382327+0j),(-97.21126193474183+0j),(77.47159914112227+0j)
(2.8161255+0j),(145.07993630374853+0j),(-97.39426750079755+0j),(77.62496895842307+0j)
(2.8211364999999997+0j),(145.8550035144866+0j),(-97.67078604738741+0j),(78.01524498424335+0j)
(2.825623000000002+0j),(146.29366171969178+0j),(-97.84576071134481+0j),(78.19434500357606+0j)
(2.829142299999999+0j),(146.34658909976028+0j),(-97.90008021261073+0j),(78.14724035573697+0j)
(2.834182799999999+0j),(147.10658795473216+0j),(-98.18832818555157+0j),(78.55211268866034+0j)
(2.8396396+0j),(147.5437141126537+0j),(-98.35629991105336+0j),(78.69885336534377+0j)
(2.843679800000002+0j),(147.9761352443623+0j),(-98.49432617168313+0j),(78.86811639030755+0j)
(2.8486469000000003+0j),(148.41336338585177+0j),(-98.65714300517195+0j),(79.03034793587784+0j)
(2.8536389000000018+0j),(148.86679112424784+0j),(-98.82509532929066+0j),(79.2006629570263+0j)
(2.8586413000000004+0j),(149.6116210941673+0j),(-99.05880380838497+0j),(79.6337393522078+0j)
(2.8631881000000003+0j),(150.04121103668166+0j),(-99.18416277171946+0j),(79.7996701227902+0j)
(2.8686810000000005+0j),(150.4961471187842+0j),(-99.34115063319182+0j),(79.96848918553688+0j)
(2.872644599999999+0j),(150.92307459026566+0j),(-99.44572149728569+0j),(80.16099093745062+0j)
(2.8781608000000016+0j),(151.38405492545542+0j),(-99.5683722590375+0j),(80.32819105215916+0j)
(2.8831597999999996+0j),(151.82086231354734+0j),(-99.70016066750897+0j),(80.48541242427846+0j)
(2.8876431+0j),(152.58287200122734+0j),(-99.88957146324577+0j),(80.91424210613172+0j)
(2.892669100000001+0j),(153.03232367829236+0j),(-100.01301255115604+0j),(81.1011016086346+0j)
(2.897148800000002+0j),(153.48676104791775+0j),(-100.11672805145864+0j),(81.26924414152842+0j)
(2.9011776000000022+0j),(153.91190464262408+0j),(-100.20450177624733+0j),(81.44476450386378+0j)
(2.9066466+0j),(154.3667679410777+0j),(-100.32784497223571+0j),(81.59210737751778+0j)
(2.9107530000000015+0j),(154.78415140035327+0j),(-100.46524450084821+0j),(81.76944702750586+0j)
(2.915697100000001+0j),(155.23785912394538+0j),(-100.60592200605608+0j),(81.93893902180866+0j)
(2.920645000000002+0j),(155.69287696778014+0j),(-100.73414536632647+0j),(82.10261481331136+0j)
(2.9258143000000008+0j),(156.47245228183297+0j),(-100.92201931512675+0j),(82.48520470225743+0j)
(2.930217400000002+0j),(156.89467715195383+0j),(-101.06466248395661+0j),(82.65823311536445+0j)
(2.9347061000000014+0j),(157.31517338489974+0j),(-101.19906183399493+0j),(82.81736813129223+0j)
(2.939185799999999+0j),(157.72547683015117+0j),(-101.35054933844975+0j),(82.98211750898795+0j)
(2.9432056000000006+0j),(158.1543637390619+0j),(-101.475493113565+0j),(83.1534924848608+0j)
(2.9472076000000005+0j),(158.57478954037256+0j),(-101.61246362454013+0j),(83.32019608906838+0j)
(2.9516916999999996+0j),(158.98846782265+0j),(-101.74176819113244+0j),(83.48906622017034+0j)
(2.956673199999999+0j),(159.41305626542643+0j),(-101.88257141361723+0j),(83.64164853778159+0j)
(2.960711699999999+0j),(159.82643664665787+0j),(-102.00592689027131+0j),(83.80845559978926+0j)
(2.9646890999999993+0j),(160.23357340857314+0j),(-102.12336479554988+0j),(83.97545062893006+0j)
(2.968664800000001+0j),(160.63626594225812+0j),(-102.24080695157251+0j),(84.14465233067395+0j)
(2.9736753999999994+0j),(161.06193427064818+0j),(-102.3748973620381+0j),(84.2869157459431+0j)
(2.978173400000001+0j),(161.46687600213156+0j),(-102.51429000531272+0j),(84.44816874148994+0j)
(2.9822013000000016+0j),(161.8685185805759+0j),(-102.63275430357648+0j),(84.59639926770218+0j)
(2.986701000000002+0j),(162.27688669520987+0j),(-102.7728351299372+0j),(84.73384729201432+0j)
(2.991976599999999+0j),(163.02209468819885+0j),(-102.9504220709496+0j),(85.07644146721515+0j)
(2.996707800000001+0j),(163.4437319579107+0j),(-103.09260054237166+0j),(85.19025286967484+0j)
(3.0007076+0j),(163.83760360918353+0j),(-103.21180230337447+0j),(85.32465872996588+0j)
(3.0061717000000012+0j),(164.28092468841567+0j),(-103.38194883347285+0j),(85.45835549474113+0j)
(3.010205100000002+0j),(164.65724590510615+0j),(-103.53615239375888+0j),(85.60290271520105+0j)
(3.015181199999999+0j),(165.06387296191733+0j),(-103.69738686296648+0j),(85.73283604990141+0j)
(3.0201832+0j),(165.4912571868709+0j),(-103.84824468816761+0j),(85.83977121951392+0j)
(3.0253859000000016+0j),(166.1656855444374+0j),(-104.06035367592393+0j),(86.15611509750161+0j)
(3.029623299999999+0j),(166.54577576824596+0j),(-104.2051316602291+0j),(86.27492209277312+0j)
(3.0342336999999997+0j),(166.95767563039703+0j),(-104.35994068628797+0j),(86.39513475891341+0j)
(3.0387688000000015+0j),(167.3613874641061+0j),(-104.51577703226393+0j),(86.50343713007992+0j)
(3.0432653+0j),(167.76563506861814+0j),(-104.66372670046809+0j),(86.60094878954325+0j)
(3.0482645+0j),(168.17840481260274+0j),(-104.84407853191004+0j),(86.707682616227+0j)
(3.0522630999999993+0j),(168.54248875001113+0j),(-105.00342306746103+0j),(86.82951676071198+0j)
(3.0562437000000013+0j),(168.91193713351106+0j),(-105.14816040579521+0j),(86.94757154617577+0j)
(3.060766299999999+0j),(169.29997047615183+0j),(-105.30614386615056+0j),(87.05420715564347+0j)
(3.0647584000000005+0j),(169.67088605969732+0j),(-105.43560678553442+0j),(87.16647218819548+0j)
(3.0692621000000013+0j),(170.0621324122239+0j),(-105.59245755240681+0j),(87.27134479602682+0j)
(3.0742338+0j),(170.4631127764534+0j),(-105.77125659874437+0j),(87.36921851428073+0j)
(3.078222600000002+0j),(170.84765674971536+0j),(-105.90746403114184+0j),(87.47195681760664+0j)
(3.0827369000000022+0j),(171.24398217004162+0j),(-106.08787033486246+0j),(87.56636459837502+0j)
(3.0877145000000024+0j),(171.8697725988439+0j),(-106.34462028489125+0j),(87.83878774530139+0j)
(3.092263400000002+0j),(172.25874886689803+0j),(-106.53257268825044+0j),(87.93186923048344+0j)
(3.0972592999999993+0j),(172.66936091967233+0j),(-106.71120993714162+0j),(88.01408638244439+0j)
(3.101264500000001+0j),(173.04360215578126+0j),(-106.86324013002607+0j),(88.11710713018375+0j)
(3.1067449000000007+0j),(173.47582103235504+0j),(-107.0594255441118+0j),(88.17437814025752+0j)
(3.1112565000000014+0j),(173.87221582674877+0j),(-107.21915785582874+0j),(88.26430297524462+0j)
(3.1157366+0j),(174.26004005104602+0j),(-107.40294065158153+0j),(88.3612303047587+0j)
(3.1210536000000015+0j),(174.88964188299235+0j),(-107.66777189555435+0j),(88.58914991479087+0j)
(3.126202400000002+0j),(175.3228356249841+0j),(-107.88259583597318+0j),(88.65079715255152+0j)
(3.130301700000002+0j),(175.69700687355083+0j),(-108.07332901080581+0j),(88.73960702780423+0j)
(3.1347855000000013+0j),(176.08065606609279+0j),(-108.28024356221482+0j),(88.83122296106299+0j)
(3.1387598000000008+0j),(176.44828560828262+0j),(-108.46245645202143+0j),(88.93298520173607+0j)
(3.1433011000000004+0j),(176.83791495663678+0j),(-108.67132018282416+0j),(89.01385867105596+0j)
(3.148289499999999+0j),(177.24981583785979+0j),(-108.88929188179836+0j),(89.0840517183758+0j)
(3.1522939999999995+0j),(177.6098012571822+0j),(-109.07829958406813+0j),(89.16173202235883+0j)
(3.1562889000000016+0j),(177.97663007412606+0j),(-109.28821104609105+0j),(89.24463654381195+0j)
(3.160793700000001+0j),(178.36951935519446+0j),(-109.50249498649195+0j),(89.32528126497321+0j)
(3.1657954999999998+0j),(178.78751957476908+0j),(-109.74516562939006+0j),(89.39009499253396+0j)
(3.1709163+0j),(179.3929001149324+0j),(-110.05426172555241+0j),(89.63166671137442+0j)
(3.1756320999999996+0j),(179.79380804220656+0j),(-110.27752864044788+0j),(89.69843936861986+0j)
(3.1808093999999993+0j),(180.21577377609074+0j),(-110.50755760761243+0j),(89.76487105946327+0j)
(3.1847712999999995+0j),(180.58763478126917+0j),(-110.69614135446707+0j),(89.84480577217192+0j)
(3.1890854000000015+0j),(180.96522157812166+0j),(-110.90537226487145+0j),(89.92535770624214+0j)
(3.193278000000001+0j),(181.35226159757596+0j),(-111.09422531825682+0j),(89.9986246439928+0j)
