time,x,y,z
8.566135800000001,-25.851726531982422,-34.72989797592163,-6.849229335784912
8.570116200000001,-25.847434997558594,-34.71851348876953,-6.8062543869018555
8.574138900000001,-25.849103927612305,-34.7139835357666,-6.761759519577026
8.578115799999999,-25.849580764770508,-34.71195697784424,-6.706595420837402
8.5831461,-25.85148811340332,-34.711599349975586,-6.649881601333618
8.5881392,-25.837182998657227,-34.696996212005615,-6.550401449203491
8.592136500000002,-25.84385871887207,-34.68436002731323,-6.4868927001953125
8.596120899999999,-25.852203369140625,-34.68000888824463,-6.436049938201904
8.600334400000001,-25.846481323242188,-34.66379642486572,-6.389856338500977
8.604149500000002,-25.855064392089844,-34.67005491256714,-6.328284740447998
8.6091352,-25.876522064208984,-34.66308116912842,-6.288081407546997
8.613260799999999,-25.876760482788086,-34.64740514755249,-6.249547004699707
8.617287300000001,-25.896310806274414,-34.65604782104492,-6.220132112503052
8.622278999999999,-25.921106338500977,-34.66808795928955,-6.158113479614258
8.6273297,-25.942325592041016,-34.6682071685791,-6.096065044403076
8.633281700000001,-25.969982147216797,-34.65700149536133,-5.9916675090789795
8.638261800000002,-25.98094940185547,-34.66224670410156,-5.955249071121216
8.643257600000002,-26.01170539855957,-34.68209505081177,-5.905240774154663
8.6483889,-26.06511116027832,-34.705936908721924,-5.86777925491333
8.6533096,-26.10039710998535,-34.72250699996948,-5.818188190460205
8.657364400000002,-26.127099990844727,-34.728050231933594,-5.783945322036743
8.662303699999999,-26.160717010498047,-34.73454713821411,-5.729347467422485
8.666283,-26.17478370666504,-34.697890281677246,-5.624681711196899
8.6702811,-26.17478370666504,-34.697890281677246,-5.624681711196899
8.6752657,-26.214599609375,-34.6713662147522,-5.505561828613281
8.680276899999999,-26.256561279296875,-34.66296195983887,-5.468875169754028
8.684303700000001,-26.259422302246094,-34.63602066040039,-5.419999361038208
8.689385399999999,-26.28350257873535,-34.619033336639404,-5.379796028137207
8.6943862,-26.319265365600586,-34.60204601287842,-5.323290824890137
8.699328000000001,-26.355981826782227,-34.581542015075684,-5.290478467941284
8.703388799999999,-26.403188705444336,-34.5616340637207,-5.2568018436431885
8.708336800000001,-26.50284767150879,-34.50089693069458,-5.215823650360107
8.713265100000001,-26.548385620117188,-34.46078300476074,-5.2032470703125
8.718278900000001,-26.600122451782227,-34.42502021789551,-5.18837571144104
8.7222811,-26.648759841918945,-34.40988063812256,-5.160540342330933
8.727412900000001,-26.699304580688477,-34.394800662994385,-5.147606134414673
8.731326800000001,-26.7488956451416,-34.37328338623047,-5.135267972946167
8.736321400000001,-26.807785034179688,-34.357428550720215,-5.126357078552246
8.741282900000002,-26.865243911743164,-34.336984157562256,-5.106031894683838
8.7462838,-26.986122131347656,-34.27112102508545,-5.079984664916992
8.7502566,-27.045488357543945,-34.21694040298462,-5.058914422988892
8.756320600000002,-27.112960815429688,-34.164249897003174,-5.052149295806885
8.761397300000002,-27.194976806640625,-34.1336727142334,-5.024343729019165
8.7663589,-27.24766731262207,-34.08533334732056,-5.021899938583374
