grip,time
850.0,2.9023117000000003
850.0,2.9095597
850.0,2.9249392
850.0,2.9403227000000003
850.0,2.9557402
850.0,2.9710704000000003
850.0,2.9864496000000003
850.0,3.0017978999999997
850.0,3.0171851
850.0,3.0326983
850.0,3.0479507999999997
850.0,3.0633079
850.0,3.0791154999999995
850.0,3.0940769999999995
850.0,3.1094583
850.0,3.1248648999999995
850.0,3.1401832999999995
850.0,3.1555736999999997
850.0,3.1709496
850.0,3.1863563
850.0,3.2017330999999993
850.0,3.2170753999999997
850.0,3.2324829999999993
850.0,3.2478423999999997
850.0,3.2632293
850.0,3.2783688999999994
850.0,3.2937665999999997
850.0,3.3090700999999996
850.0,3.3247726999999996
850.0,3.339856
850.0,3.3552497
850.0,3.3707579
850.0,3.385962
850.0,3.4013342999999994
850.0,3.4167115
850.0,3.4321038
850.0,3.4474741999999994
850.0,3.4628593
850.0,3.4782402999999995
850.0,3.4936651999999997
850.0,3.5089531999999997
850.0,3.5243246999999993
850.0,3.5395844
850.0,3.5549178
850.0,3.5703116999999995
850.0,3.5856936
850.0,3.6010435999999997
850.0,3.6165332
850.0,3.6318563999999993
850.0,3.6471970999999996
850.0,3.6625568
850.0,3.6779797
850.0,3.6933388999999996
850.0,3.7086995
850.0,3.7240728999999995
850.0,3.7394431
850.0,3.7547977
850.0,3.770174
850.0,3.7855761999999995
850.0,3.8009528999999995
850.0,3.8165565
850.0,3.8317226999999994
850.0,3.8470882999999994
850.0,3.8624513999999994
850.0,3.8778109999999995
850.0,3.8931870999999996
850.0,3.9085751999999996
850.0,3.9239359
850.0,3.9393380999999996
850.0,3.9547225999999993
850.0,3.9700917999999996
850.0,3.9854591
850.0,4.0008466
850.0,4.0166163
850.0,4.031593099999999
850.0,4.0469629
850.0,4.0624687
850.0,4.0777502
850.0,4.0930655
850.0,4.1084485
850.0,4.1238632
850.0,4.139217899999999
850.0,4.1546093
850.0,4.1700137
850.0,4.185359
850.0,4.2007294
850.0,4.216106
850.0,4.2314712
850.0,4.2468708
850.0,4.2625116
850.0,4.277607499999999
850.0,4.2929457
850.0,4.3083534
850.0,4.3237529
850.0,4.3391312
850.0,4.3544743
850.0,4.3698749999999995
850.0,4.3852443
850.0,4.4005952
850.0,4.4160083
850.0,4.4312195999999995
850.0,4.4466174999999994
850.0,4.4623178
850.0,4.47734
850.0,4.4927348
850.0,4.5080770999999995
850.0,4.5234540999999995
850.0,4.538889999999999
850.0,4.554188
850.0,4.5696284
850.0,4.5849972
850.0,4.6003013
850.0,4.6157501
850.0,4.631107999999999
850.0,4.6464675
850.0,4.661880099999999
850.0,4.677308699999999
850.0,4.6925892
850.0,4.7083239
850.0,4.7233882
850.0,4.7387327
850.0,4.7541183
850.0,4.7695142
850.0,4.784842299999999
850.0,4.800246
850.0,4.8156269
850.0,4.8309871
850.0,4.8463915
850.0,4.8618841999999995
850.0,4.877280799999999
850.0,4.8926731
850.0,4.9081985999999995
850.0,4.9233565
850.0,4.938756199999999
850.0,4.954098699999999
850.0,4.9694845
850.0,4.984875799999999
850.0,5.000070399999999
850.0,5.0154954
850.0,5.0308414
850.0,5.0462435999999995
850.0,5.0616106
850.0,5.076987
850.0,5.0923349
850.0,5.1077536
850.0,5.123114
850.0,5.1384858
850.0,5.154069799999999
850.0,5.1692627
850.0,5.1848097
850.0,5.2003224
850.0,5.2156869
850.0,5.2310402
850.0,5.2464154999999995
850.0,5.2618013
850.0,5.2771513
850.0,5.2925524
850.0,5.3081948
850.0,5.3233318
850.0,5.338715199999999
850.0,5.3540522
850.0,5.3694614
850.0,5.3848192
850.0,5.4001132
850.0,5.4154918
850.0,5.4308574
850.0,5.4462497
850.0,5.4616411
850.0,5.4769945
850.0,5.492371299999999
850.0,5.5077427
850.0,5.5231794
850.0,5.5385528
850.0,5.5540034
850.0,5.5692638
850.0,5.5846336
850.0,5.5999856999999995
850.0,5.615395599999999
850.0,5.630760899999999
850.0,5.6461371
850.0,5.6615402
850.0,5.6769251999999994
850.0,5.6922627
850.0,5.707649099999999
850.0,5.7230611
850.0,5.7383732
850.0,5.7538863
850.0,5.7691671
850.0,5.7845409
850.0,5.7999203
850.0,5.8152951999999996
850.0,5.8306461
850.0,5.8460421
850.0,5.8614351
850.0,5.8767662
850.0,5.8921396
850.0,5.9075275
850.0,5.9228989
850.0,5.9382728
850.0,5.9536961999999995
850.0,5.9690557
850.0,5.9844268
850.0,6.000182199999999
850.0,6.0151983
850.0,6.0305465
850.0,6.0459198
850.0,6.0614041
850.0,6.0766903999999995
850.0,6.0920478
850.0,6.1074195
850.0,6.122787799999999
850.0,6.1381404999999996
850.0,6.1535668
850.0,6.168923899999999
850.0,6.1842916
850.0,6.2000861
850.0,6.2150362
850.0,6.2304186999999995
850.0,6.2458187999999994
850.0,6.2611916999999995
850.0,6.2765705
850.0,6.2919244999999995
850.0,6.3073274999999995
850.0,6.322687
850.0,6.3380418
850.0,6.3534668
850.0,6.3689767999999995
850.0,6.3841804
850.0,6.3997215
850.0,6.4152014
850.0,6.4302985
850.0,6.4456915
850.0,6.4610971
850.0,6.4764415
850.0,6.491796
850.0,6.5071876
850.0,6.5225515
850.0,6.5379318
850.0,6.5533242
850.0,6.5686887
850.0,6.5840472
850.0,6.5997986
850.0,6.6148526
850.0,6.6299906
850.0,6.6456342
850.0,6.660746
850.0,6.6761652
850.0,6.69152
850.0,6.7068962
850.0,6.7221265
850.0,6.7374493
850.0,6.7528688
850.0,6.7682569
850.0,6.7835798
850.0,6.7989945
850.0,6.8145736
850.0,6.8299362
850.0,6.8456785
850.0,6.8607171
850.0,6.876111799999999
850.0,6.8914743
850.0,6.906802
850.0,6.9222209
850.0,6.9375599999999995
850.0,6.9529768
850.0,6.9683278
850.0,6.9836830999999995
850.0,6.999082
850.0,7.014462399999999
850.0,7.0298532
850.0,7.0456372
850.0,7.060601499999999
850.0,7.075988199999999
850.0,7.091481399999999
850.0,7.106933699999999
850.0,7.1222446999999995
850.0,7.137601399999999
850.0,7.1530521
850.0,7.1684231
850.0,7.1837269
850.0,7.199185399999999
850.0,7.2145128
850.0,7.2298712
850.0,7.245250499999999
850.0,7.260612699999999
850.0,7.2760012
850.0,7.2915209999999995
850.0,7.3068192
850.0,7.3222521
850.0,7.3375994
850.0,7.3530338
850.0,7.3683978
850.0,7.383726599999999
850.0,7.3991267999999994
850.0,7.414529
850.0,7.429843399999999
850.0,7.4455542
850.0,7.4608743
850.0,7.4762299
850.0,7.491587299999999
850.0,7.507021099999999
850.0,7.5223944
850.0,7.537725699999999
850.0,7.553123299999999
850.0,7.5684574
850.0,7.583859499999999
850.0,7.599271
850.0,7.614616399999999
850.0,7.629987699999999
850.0,7.645624
850.0,7.6607197
850.0,7.6761227000000005
850.0,7.6915157999999995
850.0,7.706928099999999
850.0,7.7222724
850.0,7.737595499999999
850.0,7.753030900000001
850.0,7.7683704
850.0,7.7837219
850.0,7.799102399999999
850.0,7.814639999999999
850.0,7.8299865
850.0,7.8457589
850.0,7.860743899999999
850.0,7.876134199999999
850.0,7.8914946
850.0,7.9068614
850.0,7.9222483
850.0,7.9376116
850.0,7.953028
850.0,7.9683978
850.0,7.9837594
850.0,7.9991582999999995
850.0,8.0145084
850.0,8.0298981
850.0,8.045276
850.0,8.0606374
850.0,8.0760416
850.0,8.0914397
850.0,8.1067888
850.0,8.1221275
850.0,8.1375023
850.0,8.152903499999999
850.0,8.1682841
850.0,8.1834283
850.0,8.1988608
850.0,8.2141953
850.0,8.229547199999999
850.0,8.244966999999999
850.0,8.2603653
850.0,8.2757021
850.0,8.2910776
850.0,8.3065099
850.0,8.321819399999999
850.0,8.3373395
850.0,8.35261
850.0,8.3679871
850.0,8.383405999999999
850.0,8.3988266
850.0,8.4141926
850.0,8.4295516
850.0,8.4449349
850.0,8.4603033
850.0,8.475742799999999
850.0,8.4910854
850.0,8.506451499999999
850.0,8.5218233
850.0,8.5372998
850.0,8.5525774
850.0,8.5679307
850.0,8.5833044
850.0,8.5987097
850.0,8.6140997
850.0,8.6294306
850.0,8.6448404
850.0,8.6601916
850.0,8.6755575
850.0,8.6910045
850.0,8.7063757
850.0,8.7216816
850.0,8.737321099999999
850.0,8.7524859
850.0,8.767881299999999
850.0,8.7832055
850.0,8.7985696
850.0,8.813937899999999
850.0,8.8293161
850.0,8.8447586
850.0,8.8600751
850.0,8.8754483
850.0,8.8908458
850.0,8.9062461
850.0,8.9216101
850.0,8.9373299
850.0,8.9523452
850.0,8.9676856
850.0,8.9832783
850.0,8.9986392
850.0,9.0140548
850.0,9.0294163
850.0,9.0447811
850.0,9.0601702
850.0,9.0755444
850.0,9.0909282
850.0,9.1063235
850.0,9.1216569
850.0,9.1373211
850.0,9.1524135
850.0,9.1678056
850.0,9.183254
850.0,9.1985744
850.0,9.2139321
850.0,9.2292835
850.0,9.2446767
850.0,9.260034899999999
850.0,9.2754523
850.0,9.2907951
850.0,9.30641
850.0,9.321772
850.0,9.3371984
850.0,9.3525004
850.0,9.3678765
850.0,9.3832504
850.0,9.3986475
850.0,9.414046899999999
850.0,9.4293953
850.0,9.444787999999999
850.0,9.460055
850.0,9.4754236
850.0,9.4908367
850.0,9.506178
850.0,9.521538399999999
850.0,9.537019599999999
850.0,9.5523302
850.0,9.5677051
850.0,9.5832896
850.0,9.5984494
850.0,9.6138599
850.0,9.6292034
850.0,9.644615
850.0,9.660010699999999
850.0,9.6753378
850.0,9.6907212
850.0,9.706097
850.0,9.7213388
850.0,9.7367088
850.0,9.7520898
850.0,9.7674514
850.0,9.7832208
850.0,9.798261199999999
850.0,9.81359
850.0,9.8290715
850.0,9.8443461
850.0,9.8596942
850.0,9.8751549
850.0,9.8905739
850.0,9.9059366
850.0,9.9213028
850.0,9.9367021
850.0,9.952032599999999
850.0,9.967445699999999
850.0,9.9828394
850.0,9.998198799999999
850.0,10.0135609
850.0,10.0291562
850.0,10.0443005
850.0,10.059663
850.0,10.0750538
850.0,10.0905109
850.0,10.1058232
850.0,10.121156899999999
850.0,10.1365699
850.0,10.1519382
850.0,10.1673575
850.0,10.1827562
850.0,10.1980972
850.0,10.2134542
850.0,10.2290138
850.0,10.2442046
850.0,10.259539499999999
850.0,10.2749314
850.0,10.2903176
850.0,10.3056857
850.0,10.3210405
850.0,10.3364614
850.0,10.3518329
850.0,10.3671607
850.0,10.3825715
850.0,10.3979994
850.0,10.4131039
850.0,10.4285203
850.0,10.443863
850.0,10.459237
850.0,10.4743799
850.0,10.4897934
850.0,10.5051084
850.0,10.5206225
850.0,10.5359221
850.0,10.551283
850.0,10.5666171
850.0,10.5820551
850.0,10.5973892
850.0,10.6126304
850.0,10.62805
850.0,10.6434018
850.0,10.658774
850.0,10.6741752
850.0,10.6895287
850.0,10.704848499999999
850.0,10.720255
850.0,10.7356574
850.0,10.7509759
850.0,10.766551
850.0,10.7817999
850.0,10.7973021
850.0,10.8127019
850.0,10.8281332
850.0,10.8434648
850.0,10.8588
850.0,10.8742235
850.0,10.889601299999999
850.0,10.9050095
850.0,10.920744
850.0,10.935768099999999
850.0,10.9511698
850.0,10.9665189
850.0,10.9819124
850.0,10.9972625
850.0,11.0126365
850.0,11.0280819
850.0,11.0434108
850.0,11.0587643
850.0,11.0741686
850.0,11.0895286
850.0,11.1049697
850.0,11.1206002
850.0,11.1356533
850.0,11.1510451
850.0,11.1665209
850.0,11.1818027
850.0,11.1971668
850.0,11.2125382
850.0,11.227921799999999
850.0,11.2433297
850.0,11.2586636
850.0,11.273910299999999
850.0,11.2891985
850.0,11.3045768
850.0,11.3199614
850.0,11.3353395
850.0,11.3506877
850.0,11.3661044
850.0,11.3814489
850.0,11.396934
850.0,11.4123551
850.0,11.427708299999999
850.0,11.4430372
850.0,11.458404999999999
850.0,11.4737735
850.0,11.489192599999999
850.0,11.5045166
850.0,11.5199131
850.0,11.5352794
850.0,11.5506551
850.0,11.5660534
850.0,11.5814148
850.0,11.5967849
850.0,11.6123566
850.0,11.6275695
850.0,11.6429594
850.0,11.6583041
850.0,11.6736966
850.0,11.6890479
850.0,11.7044122
850.0,11.7198043
850.0,11.735169299999999
850.0,11.750544999999999
850.0,11.765948
850.0,11.7813045
850.0,11.7967132
850.0,11.8124102
850.0,11.8274713
850.0,11.8428291
850.0,11.858200199999999
850.0,11.873615
850.0,11.8889506
850.0,11.904309399999999
850.0,11.9198589
850.0,11.9352105
850.0,11.950569
850.0,11.9659771
850.0,11.9813328
850.0,11.9967174
850.0,12.0123538
850.0,12.0274635
850.0,12.0428497
850.0,12.0581932
850.0,12.0736128
850.0,12.0889545
850.0,12.1043092
850.0,12.1197538
850.0,12.1351276
850.0,12.1504789
850.0,12.1658703
850.0,12.1812934
850.0,12.1966361
850.0,12.2122918
850.0,12.227356499999999
850.0,12.2427549
850.0,12.2582598
850.0,12.2737398
850.0,12.2891224
850.0,12.304464
850.0,12.3198318
850.0,12.3351846
850.0,12.3504931
850.0,12.3658792
850.0,12.3812807
850.0,12.3966231
850.0,12.412428
850.0,12.4273917
850.0,12.4430294
850.0,12.4583474
850.0,12.4737712
850.0,12.4891391
850.0,12.504473899999999
850.0,12.5198771
850.0,12.5352624
850.0,12.550605599999999
850.0,12.5660065
850.0,12.5813898
850.0,12.5967282
850.0,12.612390399999999
850.0,12.6275422
850.0,12.642866399999999
850.0,12.6582369
