bendingValue
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
[850.]
